ID;user_ID;role_ID
c7c7c7c7-0001-4801-9801-440000000001;e4f5a6b7-c8d9-4401-9401-fa1234600001;b6b6b6b6-0001-4701-9701-330000000001
c7c7c7c7-0002-4801-9801-440000000002;e4f5a6b7-c8d9-4401-9401-fa1234600002;b6b6b6b6-0001-4701-9701-330000000001
c7c7c7c7-0003-4801-9801-440000000003;e4f5a6b7-c8d9-4401-9401-fa1234600003;b6b6b6b6-0003-4701-9701-330000000003
c7c7c7c7-0004-4801-9801-440000000004;e4f5a6b7-c8d9-4401-9401-fa1234600004;b6b6b6b6-0003-4701-9701-330000000003
c7c7c7c7-0005-4801-9801-440000000005;e4f5a6b7-c8d9-4401-9401-fa1234600005;b6b6b6b6-0003-4701-9701-330000000003
c7c7c7c7-0006-4801-9801-440000000006;e4f5a6b7-c8d9-4401-9401-fa1234600006;b6b6b6b6-0002-4701-9701-330000000002
c7c7c7c7-0007-4801-9801-440000000007;e4f5a6b7-c8d9-4401-9401-fa1234600007;b6b6b6b6-0002-4701-9701-330000000002
c7c7c7c7-0008-4801-9801-440000000008;e4f5a6b7-c8d9-4401-9401-fa1234600008;b6b6b6b6-0002-4701-9701-330000000002
c7c7c7c7-0009-4801-9801-440000000009;e4f5a6b7-c8d9-4401-9401-fa1234600009;b6b6b6b6-0002-4701-9701-330000000002
c7c7c7c7-0010-4801-9801-440000000010;e4f5a6b7-c8d9-4401-9401-fa1234600010;b6b6b6b6-0002-4701-9701-330000000002
c7c7c7c7-0011-4801-9801-440000000011;e4f5a6b7-c8d9-4401-9401-fa1234600011;b6b6b6b6-0002-4701-9701-330000000002
c7c7c7c7-0012-4801-9801-440000000012;e4f5a6b7-c8d9-4401-9401-fa1234600012;b6b6b6b6-0002-4701-9701-330000000002
